ID,Category,Question,Answer
240,Optimization,"What is ""Inline Functions"" performance impact?","Defining functions inside render (e.g., onClick={() => doSomething()}) creates a new function every render. Usually negligible, but useCallback fixes it for heavy children."
241,API,How to handle API errors globally?,Use an Axios interceptor or a custom useFetch hook that dispatches errors to a global notification/toast context.
242,Accessibility,What is aria-live?,"An attribute that announces dynamic changes to screen readers (e.g., a toast message appearing) without the user moving focus."
243,Accessibility,What is Focus Management?,"Manually moving the keyboard focus (using .focus()) to a new element, for example, moving focus to a Modal when it opens."
244,State,"What is ""derived state""?",State that can be calculated from existing props or state. You should not store derived state in useState; calculate it during render.
245,Hooks,What is a custom hook naming convention?,"It must start with ""use"" (e.g., useWindowSize). This allows the React linter to enforce Hook rules."
246,Core,What is the key prop in a Fragment?,Syntax <React.Fragment key={id}> allows a key. Short syntax <> does not support keys.
247,Debugging,What is the React Developer Tools extension?,"A browser extension that lets you inspect the React component hierarchy, view props/state, and profile performance."
248,Environment,How do you specify a development vs production build?,Typically set via NODE_ENV. React automatically strips out warnings and development helpers when NODE_ENV is 'production'.
249,Core,Can a React component return null?,Yes. Returning null effectively renders nothing (hides the component).
250,Advanced,"What is ""Portals"" event bubbling?","Even if a Portal renders an element outside the parent DOM node, the event bubbles up the React tree as if it were rendered inside the parent."
251,State,What is MobX?,"A state management library that uses observable data and transparent functional reactive programming (TFRP). It is mutable and ""magical"" compared to Redux."
252,State,MobX vs Redux?,"Redux is explicit, immutable, and uses boilerplate. MobX is implicit, mutable, and requires less boilerplate code."
253,Performance,"What is ""Layout Thrashing""?","When JavaScript reads and writes to the DOM repeatedly in the same frame, causing the browser to recalculate layout multiple times. React minimizes this via Virtual DOM."
254,Architecture,"What is a ""Smart"" vs ""Dumb"" component?",Smart (Container) manages data/logic. Dumb (Presentational) just renders props.
255,Hooks,What is useIntersectionObserver?,A common custom hook using the Intersection Observer API to detect when an element enters the viewport (used for lazy loading or animations).
256,Hooks,What is useOnClickOutside?,A common custom hook used to detect clicks outside a specific element (essential for closing dropdowns or modals).
257,Router,What is dynamic routing?,"Routes that take place as your app is rendering, not in a configuration file outside the running app (React Router is dynamic)."
258,Router,What is the index route?,A child route with no path that renders in the parent's Outlet when the parent route is matched exactly.
259,Next.js,What is API Routes in Next.js?,Files inside pages/api (or app/api) that allow you to build your own API endpoints (backend logic) directly within the Next.js app.
260,Forms,What is Schema Validation?,"Using a library like Yup or Zod to define the shape and rules of your data object, often integrated with Formik or React Hook Form."
261,Optimization,What is webpack-bundle-analyzer?,"A tool that visualizes the size of webpack output files with an interactive zoomable treemap, helping you find large modules to split/remove."
262,Optimization,What is Gzip/Brotli compression?,Server-side compression of your build files (JS/CSS) before sending them to the browser. Significantly reduces download time.
263,Patterns,"What is ""Render Callback""?",Another name for the Render Props pattern.
264,Core,What is ReactDOM.createPortal?,The function used to implement Portals. It takes two arguments: the JSX to render and the DOM element to render it into.
265,Core,What is ReactDOM.render vs ReactDOM.createRoot?,render is the legacy API (React 17). createRoot is the new API (React 18) required to enable concurrent features.
266,PWA,What is a PWA (Progressive Web App)?,"A web app that uses modern web capabilities (manifest, service workers) to deliver an app-like experience (offline support, installable)."
267,PWA,What is a Service Worker?,"A script that runs in the background, separate from a web page, enabling features like offline caching and push notifications."
268,Styles,What is Sass/SCSS?,"A CSS preprocessor that adds features like variables, nesting, and mixins to CSS. React supports it out of the box with configuration."
269,Styles,"What is ""JSS""?",A specific library for writing CSS in JavaScript.
270,Testing,What is End-to-End (E2E) testing?,"Testing the full application flow from the user's perspective (e.g., Cypress, Playwright). It spins up a real browser."
271,Testing,Cypress vs Jest?,Jest is a test runner mainly for Unit/Integration tests (runs in Node). Cypress is for E2E testing (runs in the browser).
272,Hooks,Can you wrap a Hook in if block?,Never. It violates the Rules of Hooks and will break the internal linked list React uses to track state.
273,Hooks,Can you call a Hook inside another Hook?,"Yes, this is exactly how Custom Hooks are created."
274,Hooks,Can you call a Hook inside a regular JS function?,"No, unless that function is a Custom Hook. Hooks must be called from React components or Custom Hooks."
275,Architecture,"What is ""Atomic Design"" methodology?","A way to structure UI components: Atoms (Buttons), Molecules (Search Bar), Organisms (Header), Templates, Pages."
276,Core,"What is ""Prop Types"" oneOfType?","A validator that allows a prop to be one of several types (e.g., PropTypes.oneOfType([PropTypes.string, PropTypes.number]))."
277,Core,What is React.isValidElement?,A utility to verify if an object is a React element.
278,Advanced,"What is ""Hydration Mismatch""?",When the HTML rendered by the server (SSR) doesn't exactly match the HTML React tries to render on the client first pass. React will throw a warning.
279,Data,"What is ""Normalization"" of state?","Storing data in objects keyed by ID (like a database) rather than arrays, to make lookups and updates faster (O(1))."
280,React 18,"What is ""Streaming SSR""?","Sending HTML in chunks as it is generated, rather than waiting for the entire page to be ready. Allows the user to see parts of the page sooner."
281,Hooks,What is useSyncExternalStore?,A hook (React 18) for subscribing to external stores (like Redux) in a way that is compatible with concurrent rendering features.
282,Hooks,What is useInsertionEffect?,A hook intended for CSS-in-JS libraries to inject styles into the DOM before any layout effects fire.
283,Security,Why sanitize user input?,"To prevent XSS. Even though React escapes data, logic flaws or dangerouslySetInnerHTML can still expose vulnerabilities."
284,Router,How to handle 404 pages?,Add a route with path * at the end of your routes list to catch any path that didn't match previous routes.
285,Patterns,"What is the ""Function as Child"" pattern?",Similar to Render Props. The children prop is a function: <Motion>{(value) => <div>{value}</div>}</Motion>.
286,Core,"What is ""Unmounting""?",The phase when a component is removed from the DOM.
287,Core,Does setState always trigger a re-render?,"Generally yes, unless the new state is strictly equal (===) to the current state, in which case React bails out."
288,Data,"What is ""SWR"" library?",A React Hooks library for data fetching (Stale-While-Revalidate). Similar to React Query but lighter.
289,Performance,What is the React.memo comparison function?,"The second argument to React.memo(Component, arePropsEqual). It allows you to customize how props are compared to decide if a re-render is needed."
290,Advanced,"What is a ""Memory Leak"" in functional components?",Usually an async operation (API call) trying to call setUser after the component has already unmounted.
291,Ecosystem,"What is ""Code Sandbox""?","An online editor for web development, very popular for sharing React snippets and reproductions of bugs."
292,Hooks,What is useHistory?,The hook used in React Router v5 to navigate. Deprecated in v6 in favor of useNavigate.
293,Hooks,What happens if useEffect returns nothing?,It's valid. It simply means there is no cleanup step required for that effect.
294,Core,What is React.PureComponent?,A base class for class components that implements shouldComponentUpdate with a shallow prop and state comparison.
295,Core,Can you use React inside an existing non-React app?,"Yes. You can mount a React root to a specific <div> inside a legacy app (e.g., jQuery or plain HTML) without rewriting the whole app."
296,Core,What is the entry point file typically called?,index.js or main.jsx. It imports App and renders it into the DOM root.
297,Core,"What are ""default exports"" vs ""named exports""?",Default: export default Component. Named: export const Component. Named exports are better for tree-shaking and refactoring.
298,Tools,"What is ""Linting""?",The process of running a program (ESLint) that analyzes code for potential errors and stylistic issues.
299,Performance,How does key help with performance?,"It allows React to reuse existing DOM elements when a list changes, rather than destroying and recreating them, which is expensive."
300,Advanced,"What is ""Isomorphic React""?",Another term for Universal or Server-Side Rendering (apps that can run on both server and client).
301,React Native,What is the main difference between React.js and React Native?,React.js renders to the Virtual DOM (Web). React Native renders to Native API components (iOS/Android Views) via a bridge.
302,React Native,What replaces <div> and <span> in React Native?,"<View> replaces <div>, and <Text> replaces <span>. You cannot use HTML tags in React Native."
303,React Native,How is styling different in React Native?,"It uses JavaScript objects (similar to inline styles) via StyleSheet.create, not CSS files or className strings."
304,TypeScript,"What is Omit<T, K> useful for in React?","Removing specific props from an interface. E.g., Omit<ButtonProps, 'onClick'> to override the click handler type."
305,TypeScript,"What is Pick<T, K>?",The opposite of Omit. It creates a new type by selecting a specific set of properties from an existing type.
306,TypeScript,How to type a generic custom hook?,function useQuery<T>(url: string): T { ... } allowing the consumer to define the expected data structure.
307,Patterns,"What is the ""Controlled vs Uncontrolled"" distinction?","Controlled: React manages state (Source of Truth). Uncontrolled: DOM manages state (Source of Truth), accessed via Ref."
308,Patterns,"What is the ""Slot"" pattern?","Passing components as props (other than children) to fill specific sections of a layout (e.g., <Layout sidebar={<Sidebar />} content={<Feed />} />)."
309,Redux,What is Redux Saga?,"A middleware library that handles side effects (async tasks) using ES6 Generators, offering more control over complex flows than Thunks."
310,Redux,Thunk vs Saga?,"Thunks are simple functions (good for basic API calls). Sagas are generator functions (good for complex flows like cancellation, race conditions)."
311,State,"What is ""Propagating"" state?","Passing state down through props. If deep, it becomes ""Prop Drilling""."
312,Core,What is React.Children.toArray?,"Converts the children opaque data structure into a flat array with keys assigned to each child, useful for sorting or slicing children."
313,Core,What is React.Children.only?,Verifies that children has only one child (a single element) and returns it. Throws an error if there are multiple children.
314,Testing,"What is a ""Spy"" in Jest?","A function that tracks calls to another function (arguments, return value, this context) without necessarily changing its implementation."
315,Testing,What is TDD (Test Driven Development)?,"A process where you write the test before writing the component/logic, ensuring the code meets requirements from the start."
316,Performance,What is the impact of huge bundle.js?,"Slower download, slower parsing, and slower execution time, leading to a high TTI (Time to Interactive)."
317,Performance,How does React.memo handle object props?,"It does a shallow comparison. If a parent passes a new object reference every render, React.memo will fail to prevent re-renders unless you use useMemo in the parent."
318,Styling,"What is ""Atomic CSS"" (e.g., Tailwind)?","A methodology where each class represents a single CSS property (e.g., text-center, p-4), promoting reusability and small CSS bundles."
319,Styling,"What is ""Emotion""?","A popular CSS-in-JS library, similar to Styled Components but offers both string and object styles and high performance."
320,Advanced,"What is the ""key"" prop limit?",Keys only need to be unique among siblings. You can have the same key '1' in two separate lists on the same page.
321,Hooks,What is the return type of useRef?,A MutableRefObject which contains a single property .current.
322,Hooks,Is useRef synchronous?,Yes. Assigning ref.current = value happens instantly and does not trigger a re-render.
323,Core,"What is a ""Fragment"" short syntax?",<>...</>
324,Core,Can you attach className to a Fragment?,No. The short syntax <> accepts no attributes. <React.Fragment> only accepts key.
325,Accessibility,"What is a ""Skip Link""?",A hidden link at the top of the page that allows keyboard users to skip navigation and jump directly to the main content.
326,Accessibility,What is semantic HTML in React?,"Using <button> instead of <div onClick>, <main> for content, etc. React encourages standard HTML semantics."
327,Architecture,What is SOLID?,"A set of 5 design principles (Single responsibility, Open-closed, Liskov substitution, Interface segregation, Dependency inversion) applied to OOP and often React components."
328,Architecture,Single Responsibility Principle in React?,"A component should do one thing well. If it handles UI, Logic, and Fetching, it should be split."
329,Architecture,DRY Principle?,"""Don't Repeat Yourself"". Extracting common logic into Custom Hooks or shared utility components."
330,Hooks,useEffect vs useMemo?,"useEffect is for side effects (after render). useMemo is for performance optimization (during render, returns a value)."
331,Hooks,Can useEffect handle cleanup?,"Yes, by returning a function. This function runs before the component unmounts or before the effect re-runs."
332,Next.js,"What is ""ISR"" (Incremental Static Regeneration)?",Allows you to update static pages after you’ve built your site.
333,Next.js,What is _app.js?,"The custom App component in Next.js pages router used to initialize pages (keeping state between routes, global CSS)."
334,Next.js,What is _document.js?,"Used to augment the application's <html> and <body> tags (e.g., adding lang attributes or Google Analytics scripts)."
335,Router,What is useMatch?,A hook in React Router v6 used to check if the current URL matches a specific path pattern.
336,Core,"What is ""Cross-Origin"" in React?","Not specific to React, but React apps fetching data from a different domain need CORS (Cross-Origin Resource Sharing) headers enabled on the server."
337,Security,What is the risk of {...props} (Prop Spreading)?,You might accidentally pass sensitive or invalid props to a child component or HTML element that doesn't expect them.
338,Build,"What is ""Ejecting"" in Create-React-App?","Running npm run eject removes the single build dependency and exposes all config files (Webpack, Babel) so you can edit them manually. It is irreversible."
339,Build,What is Parcel?,"A zero-configuration web application bundler, an alternative to Webpack and Vite."
340,Advanced,What is unstable_batchedUpdates?,"An internal React API (pre-React 18) used to manually batch updates inside async events. In React 18, this is automatic."
341,Redux,What is the Store?,The object that holds the application state tree in Redux.
342,Redux,What is combineReducers?,A helper function that turns an object whose values are different reducing functions into a single reducing function.
343,Data,"What is ""Polling""?","Repeatedly fetching data at intervals (e.g., every 5 seconds) to keep the UI fresh. Can be done with useEffect and setInterval."
344,Data,"What is ""WebSocket""?","A communication protocol for full-duplex communication channels. React uses this for real-time features (chat, notifications) instead of HTTP polling."
345,Hooks,Why put setSomething in dependency array?,You generally don't need to. React guarantees that state setter functions (from useState) are stable and won't change identity.
346,Core,"What is the ""Mounting"" phase?",When an instance of a component is being created and inserted into the DOM.
347,Lifecycle,getSnapshotBeforeUpdate usage?,Rarely used. It captures some information from the DOM (like scroll position) before it is potentially changed by an update.
348,Lifecycle,shouldComponentUpdate vs PureComponent?,PureComponent implements shouldComponentUpdate with a shallow comparison by default. Manual implementation allows deep comparison (careful of performance).
349,Ref,callback refs vs useRef?,Callback refs give you a function that receives the DOM node when it mounts/unmounts. useRef is just a container. Callback refs are better for dynamic lists.
350,Core,"What is ""Re-parenting""?",Moving a component from one parent to another. React will typically unmount and remount it (losing state) unless you use Portals or keep it in the same place in the tree.
351,Ecosystem,"What is ""Remix""?","A full-stack web framework based on React (created by React Router team) focusing on web standards, fast loading, and progressive enhancement."
352,Ecosystem,"What is ""Gatsby""?","A React-based open-source framework for creating static websites and apps, known for its rich plugin ecosystem and GraphQL data layer."
353,Hooks,"What is the ""stale closure"" problem?",When a function inside a component captures variables from an old render and fails to see updates because dependency arrays were incomplete.
354,Advanced,"What is a ""Memory Leak"" via Event Listener?",Adding window.addEventListener in useEffect but forgetting to removeEventListener in the return function.
355,Patterns,"What is the ""Module Pattern""?",Using ES6 modules to export/import reusable logic. React components are effectively modules.
356,Patterns,"What is ""HOC hell""?","Using too many Higher-Order Components (wrappers) leads to a deep, hard-to-debug component tree (Wrapper > Wrapper > Wrapper > Component)."
357,Router,What is useLocation state?,"You can pass state during navigation (Maps('/path', { state: { id: 1 } })). This state is accessible via useLocation().state without appearing in the URL."
358,Security,"What is ""Content Security Policy"" (CSP)?","An HTTP header that allows site operators to restrict the resources (such as JavaScript, CSS, Images) that user agents are allowed to load. Critical for React apps."
359,Testing,"What is ""Happy Path"" testing?",Testing the default scenario where no errors occur and the user uses the feature exactly as intended.
360,Testing,"What is ""Edge Case"" testing?","Testing boundaries (empty lists, huge numbers, offline status, API failure) to ensure the app doesn't crash."
361,Advanced,Can we use async/await in render?,No. The render method must be pure and synchronous. Async logic belongs in effects or event handlers.
362,Hooks,"What is useReducer ""lazy initialization""?","Passing a third argument (init function) to useReducer to calculate the initial state lazily, useful if the calculation is expensive."
363,Performance,"What is ""Interaction to Next Paint"" (INP)?","A core web vital replacing FID. It measures the latency of every interaction (click, tap, key) users make with the page."
364,Styles,"What is ""CSS Reset"" / ""Normalize""?","A CSS file loaded before your app styles to ensure browsers (Chrome, Safari, Firefox) render default elements consistently."
365,Hooks,What is useContext performance pitfall?,"If the Context value changes, every component consuming that context re-renders, even if they only use a small part of the data."
366,Core,What is React.version?,A property to check which version of React is currently running (console.log(React.version)).
367,Environment,What is .env.local?,A file to store local environment variables that are ignored by Git (secure).
368,Hooks,"Difference between useEffect(fn) and useEffect(fn, [])?","useEffect(fn) runs after every render. useEffect(fn, []) runs only on mount."
369,React 18,What is startTransition?,A function to wrap state updates that are non-urgent. React will prioritize user input over these updates.
370,Hooks,Can Hooks return values?,Yes. Custom hooks almost always return data or functions for the component to use.
371,Optimization,"What is ""Code Splitting"" via Routes?","Loading the code for a specific page (route) only when the user navigates to it, usually done with React.lazy and React Router."
372,Debugging,"What is ""Source Map""?","A file that maps the minified/transpiled code back to the original source code, allowing you to debug original code in the browser console."
373,Patterns,"What is ""Render Highjacking""?","A pattern (often in HOCs) where the wrapper controls the rendering of the wrapped component, potentially altering its props or result."
374,State,"What is ""Mutable"" vs ""Immutable""?",Mutable objects can be changed after creation. Immutable objects cannot. React state requires Immutability (create new object) to detect changes.
375,State,Why use ... (Spread Operator) in Reducers?,"To copy the existing state properties into a new object before overriding specific properties, ensuring immutability."
376,Core,What is dangerouslySetInnerHTML?,The React equivalent of innerHTML. It allows setting HTML directly from a string (risky for XSS).
377,Testing,"What is ""Component Contract""?",The agreement of what props a component accepts and what it renders in return.
378,Hooks,Can you use Hooks in Class Components?,No. You must use a wrapper Functional Component or Higher-Order Component to pass Hook values to a Class Component.
379,Patterns,"What is a ""Layout Component""?","A component that defines the structure (Header, Sidebar, Main) and accepts content as children."
380,Advanced,"What is ""Server Actions"" (React 19/Next 14)?","Functions that execute on the server but can be called directly from Client Components (e.g., in form action), simplifying data mutation."
381,Core,"What is ""Strict Mode"" double render?","In Development, React mounts, unmounts, and mounts components again to verify effects are resilient to mounting/unmounting."
382,Hooks,How to conditionally fire an effect?,"Put the condition inside the effect: useEffect(() => { if (!condition) return; ... }, [condition])."
383,Forms,onInput vs onChange in React?,"In React, onChange behaves like the native onInput (fires on every keystroke). In native HTML, onChange only fires on blur."
384,Data,"What is ""Waterfall"" request?","When a parent fetches data, renders, then the child fetches data, renders. Causes slow load times. Fix with parallel fetching or Promise.all."
385,Router,What is useBeforeUnload?,A hook (React Router) to prompt the user if they try to leave the page with unsaved changes.
386,Ref,Can you pass ref to a Functional Component?,"Only if you wrap that component in React.forwardRef. Otherwise, functional components don't have instances."
387,Patterns,"What is ""Controlled Inputs""?",Inputs where the value is controlled by React state and onChange updates that state.
388,Security,"What is ""Dependency Confusion""?",An attack where a hacker uploads a package to npm with the same name as your internal private package. Scoped packages (@myorg/pkg) prevent this.
389,Core,What is npm vs yarn vs pnpm?,Package managers. npm is default. yarn was faster (now similar). pnpm is disk-efficient (uses symlinks).
390,Optimization,"What is ""Preloading""?","Loading a resource (script/image) before it is needed (<link rel=""preload"">), often used for fonts or hero images."
391,Advanced,What is the void operator in TS/React?,Used to indicate a function returns nothing. () => void.
392,Core,What is React.Profiler?,"A built-in component <Profiler id=""Name"" onRender={callback}> to measure rendering cost programmatically."
393,API,fetch vs XMLHttpRequest?,fetch is Promise-based and modern. XMLHttpRequest is callback-based and old. React apps almost exclusively use fetch or axios.
394,Core,"What is ""Event Bubbling""?",Events start at the target element and bubble up to the root. React events bubble by default.
395,Core,How to stop Event Bubbling?,e.stopPropagation().
396,Core,How to prevent Default Behavior?,"e.preventDefault() (e.g., stopping a form submit from reloading the page)."
397,Patterns,"What is ""Dark Mode"" implementation?",Typically using a Context Provider to hold the theme string ('light'/'dark') and a CSS-in-JS library or CSS variables to swap colors.
398,Hooks,What is useEvent (Experimental)?,A proposed hook to create an event handler that has stable identity but can access the latest state/props without needing dependencies.
399,Debugging,"What is ""React DevTools Highlight Updates""?",A setting in DevTools that flashes a border around components whenever they re-render. Essential for performance tuning.
400,Final,How do you stay updated with React?,"Follow the official React Blog, read RFCs (Request for Comments) on GitHub, and follow core team members on social media."
401,React 19,What is the React Compiler (React Forget)?,"An automatic optimizing compiler that auto-memoizes components and hooks, removing the need for useMemo and useCallback."
402,React 19,What is the use() hook?,A new API to read the value of a resource (like a Promise or Context) inside a component. It replaces useContext and can be called conditionally.
403,React 19,What is useOptimistic?,"A hook that allows you to show a different state while an async action (like a server mutation) is pending, improving perceived performance."
404,React 19,What is useFormStatus?,"A hook that gives you status information (like pending) of the last form submission, used inside form children components."
405,React 19,What is useFormState (or useActionState)?,"A hook that allows you to update state based on the result of a form action (Server Action), handling errors and success messages."
406,Architecture,What is a Monorepo?,"A repository that holds the code for multiple projects (e.g., web app, mobile app, UI library) in a single place. Tools like Nx or Turborepo are used."
407,Architecture,What is Module Federation?,A Webpack feature that allows separate React builds (Micro-frontends) to dynamically import code from each other at runtime.
408,Architecture,What is BFF (Backend for Frontend)?,An architectural pattern where a server is created specifically for the React frontend to format/aggregate data before sending it to the client.
409,Patterns,"What is the ""Headless UI"" pattern?","Libraries (like Radix UI or Headless UI) that provide logic and accessibility but no styles, giving you full control over the visual design."
410,Patterns,"What is ""Inversion of Control"" in Props?","Instead of passing a boolean showIcon, you pass the icon component itself <Button icon={<StarIcon />} />, giving the parent control."
411,Performance,"What is ""Time to Interactive"" (TTI)?",The time it takes for the page to become fully interactive (event handlers are attached and the main thread is idle).
412,Performance,"What is ""Cumulative Layout Shift"" (CLS)?",A metric that measures visual stability. It quantifies how much elements move around during loading (jank).
413,Security,"What is ""Prototype Pollution""?","A vulnerability where an attacker modifies the base Object.prototype, potentially affecting all objects in the app. Be careful when merging deep objects."
414,Testing,What is MSW (Mock Service Worker)?,A library that intercepts network requests at the network layer (Service Worker) to mock API responses for tests and development.
415,Testing,"What is ""Visual Regression Testing""?",Tools (like Percy or Chromatic) that take screenshots of your components and compare them pixel-by-pixel to detect unintended style changes.
416,State,"What is ""Atomic State"" (Recoil/Jotai)?","State is broken into small, independent units (atoms). Components subscribe only to the specific atoms they need, minimizing re-renders."
417,State,"What is ""Proxy-based"" State (Valtio)?","State management that uses JS Proxies to track changes automatically. You mutate the state directly, and the UI updates (magic)."
418,Hooks,Can useContext replace Redux completely?,"For low-frequency updates (User, Theme), yes. For high-frequency, complex updates (Dashboards), No—Context triggers re-renders in all consumers."
419,Core,What is flushSync used for?,"To force React to flush updates synchronously. Rarely used, but helpful if you need to read the DOM immediately after a state change (e.g., for focus)."
420,Advanced,"What is the ""Event Loop"" in relation to React?","React's rendering/diffing runs on the Call Stack. Async tasks (useEffect, data fetching) run in the Task Queue, keeping the UI responsive."
421,Advanced,"What is a ""Race Condition"" in useEffect?","When two requests are sent, and the second one finishes before the first one. The first one then overwrites the correct data. Fix: cleanup flags or AbortController."
422,Ecosystem,"What is ""tRPC""?",A library for end-to-end typesafe APIs. It allows your React frontend to import types directly from your Node backend (no code generation needed).
423,Ecosystem,"What is ""TanStack Router""?","A modern, type-safe router that manages URL state and caching, offering better type safety than standard React Router."
424,Forms,What is the name attribute's role in uncontrolled forms?,It is the key used to retrieve the data from the FormData object during form submission.
425,Scenarios,"How to handle 10,000 items in a list?",Virtualization (react-window). Only render the ~10 items visible on screen.
426,Scenarios,How to handle heavy computation on the client?,"Use Web Workers to run the calculation on a background thread, preventing the UI (Main Thread) from freezing."
427,Architecture,"What is ""Islands Architecture"" (Astro)?","A pattern where the page is static HTML by default, and only interactive regions (""islands"") are hydrated with React."
428,Build,"What is ""Tree Shaking"" limitations?",Dynamic imports or side-effects in modules can prevent tree shaking. You must ensure your code is static enough for the bundler to analyze.
429,Debugging,What is console.trace()?,Outputs a stack trace to the console. Useful in React to see the chain of function calls that led to a specific error.
430,Patterns,"What is a ""Toggle"" hook?","A simple custom hook useToggle(initial) that returns [on, toggle] to handle boolean states (modals, checkboxes)."
431,Router,"What is ""History API""?",The browser standard (window.history.pushState) that React Router uses under the hood to change the URL without reloading the page.
432,Optimization,Why avoid inline objects in props?,"<Comp style={{color: 'red'}} /> creates a new object reference every render, breaking React.memo optimization in the child."
433,Optimization,Why avoid inline arrow functions in props?,<Comp onClick={() => handleClick()} /> creates a new function reference every render.
434,Types,interface vs type in React props?,"interface is better for libraries (extensible). type is better for unions/intersections. Functionally, they are mostly interchangeable for props."
435,Advanced,"What is ""Currying"" in event handlers?",const handleChange = (id) => (e) => { ... }. Used to pass extra parameters to an event handler.
436,Core,What happens if you throw a Promise?,"In React 18+, throwing a Promise is the mechanism that triggers Suspense. React catches it and shows the fallback until the Promise resolves."
437,Core,What is React.startTransition?,"Lets you update state without blocking the UI. It marks the update as ""non-urgent""."
438,Core,useTransition vs useDeferredValue?,useTransition wraps the code that causes the state update. useDeferredValue wraps the value resulting from an update.
439,Testing,"What is ""Code Coverage""?",A metric showing what percentage of your codebase is executed by your tests. 100% is rarely necessary; 80% is a good standard.
440,Environment,"What is ""Staging"" vs ""Production""?",Staging is a replica of production for final testing. Production is the live environment. React builds should be identical in both.
441,Accessibility,"What is ""Tab Index""?","tabIndex=""0"" makes an element focusable. tabIndex=""-1"" makes it focusable programmatically but skips keyboard navigation."
442,Accessibility,"What is the ""Semantic Tree""?",The structure screen readers use to interpret the page. React components must render semantic HTML to ensure this tree is valid.
443,Hooks,What is useLayoutEffect vs useEffect timing?,LayoutEffect: Fires after DOM mutation but before paint (Sync). Effect: Fires after paint (Async).
444,Architecture,"What is ""Schema-First"" development?","Defining the API schema (GraphQL/Swagger) first, then generating TypeScript types for the React frontend automatically."
445,Styles,"What is ""CLS"" impact of images?","If an image loads without defined width/height, it pushes content down, causing layout shift. Always define aspect ratio."
446,Security,How to store tokens securely?,"HttpOnly cookies are safest (inaccessible to JS). If using localStorage, you are vulnerable to XSS token theft."
447,Scenarios,How to debug a white screen (Blank Page)?,"Check console for errors, check Root mounting, check for infinite loops, or check if the build path is correct in index.html."
448,Advanced,"What is ""Referential Equality""?","{} === {} is false. React relies on this. If references change, React assumes data changed."
449,Core,"What is the ""Diffing Algorithm"" heuristic?",1. Different types produce different trees. 2. Keyed elements are stable. This makes the algorithm O(n) instead of O(n^3).
450,Tools,"What is ""Husky""?","A tool to run git hooks (e.g., run linting or tests before a commit is allowed), ensuring code quality."
451,React Native,"What is ""Expo""?",A framework and platform for universal React applications (React Native) that simplifies the build/deploy process without touching native code.
452,React Native,"What is ""Fast Refresh""?","React Native's implementation of Hot Module Replacement, allowing instant feedback on code changes while preserving state."
453,Next.js,What is Middleware in Next.js?,"Code that runs before a request is completed (edge functions), allowing you to modify the response (rewrites, redirects, auth checks)."
454,Patterns,"What is ""Skeleton Loading""?","Displaying a gray, animated placeholder structure while data fetches, reducing perceived wait time compared to a spinner."
455,Advanced,What is Object.is?,The comparison algorithm React uses for useState and useEffect dependencies (similar to === but handles NaN and -0 correctly).
456,Core,"What is ""Automatic Batching""?","In React 18, all updates (even in Promises/Timeouts) are batched. In React 17, only event handlers were batched."
457,Hooks,How to mock a custom hook?,"In Jest: jest.mock('./useCustomHook', () => ({ useCustomHook: () => 'mocked-value' }));."
458,Patterns,"What is ""Feature Flags""?",Using a service (like LaunchDarkly) or context to conditionally hide/show features in production without redeploying.
459,Performance,"What is ""Pre-rendering""?",Generating HTML in advance (SSG) or on the server (SSR) rather than relying solely on client-side JS.
460,Advanced,"What is a ""Thunk""?",A programming term for a subroutine used to inject an additional calculation into another subroutine (used in Redux for async).
461,State,"What is ""XState""?","A library for creating State Machines in JavaScript. Useful in React for complex logic where you need to visualize all possible states (e.g., a payment flow)."
462,Scenarios,How to handle multi-language (i18n)?,Use react-i18next. Wrap the app in a provider. Replace text with keys: {t('welcome_message')}.
463,Architecture,"What is ""Separation of Concerns""?","Keeping Logic, View, and Styles separate. Even in React (where JSX mixes them), you separate via Hooks (Logic) and Components (View)."
464,Testing,"What is ""Flaky Test""?",A test that sometimes passes and sometimes fails without code changes. Usually caused by async timing issues or race conditions.
465,Hooks,What is usemediaquery?,A common custom hook pattern that subscribes to window.matchMedia to return true/false based on screen size (responsive JS).
466,Core,"Why are hooks ""Top Level"" only?",React relies on the call order to map state to the correct hook. Variables inside loops/conditions would break this order.
467,Advanced,"What is ""Closure"" in React?","Functions capture the variables from the scope they were created in. useEffect often captures ""stale"" variables from a previous render if dependencies are missing."
468,Advanced,How to break a massive component?,1. Group related JSX into sub-components. 2. Extract logic into Custom Hooks. 3. Use Utility functions for pure logic.
469,Scenarios,App is slow. Where do you start?,1. React Profiler (find heavy renders). 2. Chrome Performance Tab (find heavy JS). 3. Network Tab (slow API). 4. Bundle Analyzer (huge files).
470,Hooks,useCallback vs raw function?,Raw function is faster to create. useCallback is only useful if passing the function to a memoized child component (to prevent breaking referential equality).
471,Redux,"What is ""Slice"" in Redux Toolkit?","A collection of Reducer logic and Actions for a single feature, generated automatically to reduce boilerplate."
472,Build,"What is ""Polyfill""?","Code that implements a feature on web browsers that do not support the feature (e.g., adding Promise support to IE11)."
473,Tools,"What is ""Lighthouse""?","An automated tool for improving the quality of web pages (audits Performance, Accessibility, SEO)."
474,Core,"What is ""Legacy Context""?",The old context API (pre-16.3). It is deprecated and should not be used.
475,Advanced,Can useEffect mimic constructor?,"Ideally, use useMemo or initialize state lazily. useEffect runs after render, so it's too late for constructor-like logic that must happen before paint."
476,React Native,"What is ""Metro Bundler""?",The JavaScript bundler used by React Native (analogous to Webpack for Web).
